episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,3.1998754653886934,0.6831065378314397,0.1838367712187533,-12.000495748317917,0.750054110718338,[-12.000495748317917, 0.750054110718338],0.0,False,True,0.7913570511016677,1,17.709159380834848,7.934,prepare,0.0
0,2.0,3.1997327938476117,0.6831032114197831,0.18326595495146542,-12.000485896995087,0.7500556239683647,[-12.000485896995087, 0.7500556239683647],1.0,False,True,0.7905513581379272,1,17.709159380834848,8.004,in_progress,0.0
0,3.0,3.211816453052512,0.6821698026962947,-0.07196365754947465,-12.00039530214417,0.750051974926464,[-12.00039530214417, 0.750051974926464],1.0,False,True,0.8587772349205427,1,17.709159380834848,8.07,in_progress,0.0
0,4.0,3.234270156172104,0.6776595870235336,-1.1764430027859207,-12.00168839059188,0.750029694643672,[-12.00168839059188, 0.750029694643672],1.0,False,True,0.9855295535204195,1,17.709159380834848,8.138,in_progress,0.0
0,5.0,3.267661731884931,0.6708781531859425,-2.645415920113987,-12.002997089351993,0.7500345326006936,[-12.002997089351993, 0.7500345326006936],1.0,False,True,1.1740260889214102,1,17.709159380834848,8.207,in_progress,0.0
0,6.0,3.310200846468644,0.6601049824951079,-4.744306612559935,-12.001555374503369,0.7500385118801205,[-12.001555374503369, 0.7500385118801205],1.0,False,True,1.414142327116994,2,17.709159380834848,8.269,in_progress,0.0
0,7.0,3.3577209476438368,0.6481217221947497,-6.609737300842865,-12.001094649313018,0.750034459575545,[-12.001094649313018, 0.750034459575545],1.0,False,True,1.6823746807407014,2,17.709159380834848,8.339,in_progress,0.0
0,8.0,3.4084426604461515,0.6355882990884479,-8.123094319540302,-12.000526355001057,0.7500634696843917,[-12.000526355001057, 0.7500634696843917],1.0,False,True,1.969026144732517,2,17.709159380834848,8.406,in_progress,0.0
0,9.0,3.4597604252491823,0.6202985678781865,-9.908894386711173,-12.000755647954065,0.7500651195223327,[-12.000755647954065, 0.7500651195223327],1.0,False,True,2.2587851653791047,3,17.709159380834848,8.471,in_progress,0.0
0,10.0,3.508839746784027,0.6044258466726458,-11.580754993167279,-11.999579803439701,0.750095139926998,[-11.999579803439701, 0.750095139926998],0.5,False,True,2.535903320628899,3,17.709159380834848,8.537,in_progress,0.0
0,11.0,3.558917374182456,0.5859550597899642,-13.349337113328541,-11.998786319541978,0.7500572391509195,[-11.998786319541978, 0.7500572391509195],0.5,False,True,2.818576787995068,3,17.709159380834848,8.602,in_progress,0.0
0,12.0,3.6078933203973316,0.566393710790832,-15.112929986551276,-11.996327310655033,0.7500633789022686,[-11.996327310655033, 0.7500633789022686],0.5,False,True,3.0950902159022275,4,17.709159380834848,8.667,in_progress,0.0
0,13.0,3.6595305961095663,0.5451284781363377,-16.62531539763626,-11.995853024593089,0.7500388085245504,[-11.995853024593089, 0.7500388085245504],0.5,False,True,3.386644918591196,4,17.709159380834848,8.738,in_progress,0.0
0,14.0,3.7061014075710257,0.5222428244962869,-18.58117367741443,-11.997553409426473,0.7500225239073188,[-11.997553409426473, 0.7500225239073188],0.5,False,True,3.649572448425026,4,17.709159380834848,8.804,in_progress,0.0
0,15.0,3.753219943881832,0.49950258106979356,-20.039327448283824,-11.998185502103297,0.750051334802265,[-11.998185502103297, 0.750051334802265],0.5,False,True,3.9155931750755784,5,17.709159380834848,8.872,in_progress,0.0
0,16.0,3.801637823302693,0.47116284552978216,-22.021460125076715,-11.999783592586027,0.7499946968505355,[-11.999783592586027, 0.7499946968505355],0.1,False,True,4.188939209113669,5,17.709159380834848,8.94,in_progress,0.0
0,17.0,3.8482857902328784,0.44252550035696003,-24.107466965880523,-11.995802682358772,0.7499751572722744,[-11.995802682358772, 0.7499751572722744],0.1,False,True,4.452325488903378,5,17.709159380834848,9.003,in_progress,0.0
0,18.0,3.893202996004537,0.41117793762947286,-26.301840278595005,-11.997146613139194,0.7499899146714597,[-11.997146613139194, 0.7499899146714597],0.1,False,True,4.705902170591759,6,17.709159380834848,9.068,in_progress,0.0
0,19.0,3.9342065754116184,0.3804445764377463,-28.494631645910097,-11.998714409099193,0.7500098213986348,[-11.998714409099193, 0.7500098213986348],0.1,False,True,4.937380612652598,6,17.709159380834848,9.134,in_progress,0.0
0,20.0,3.9751086199894115,0.3468905976947293,-30.645230854280648,-11.997776781383436,0.7500168289116118,[-11.997776781383436, 0.7500168289116118],0.1,False,True,5.168280927233167,6,17.709159380834848,9.204,in_progress,0.0
0,21.0,4.018562411830888,0.30959810582319236,-32.9129807338481,-11.998285605732235,0.7499976619776589,[-11.998285605732235, 0.7499976619776589],0.1,False,False,5.413582417134901,6,17.709159380834848,9.272,in_progress,0.0
0,22.0,4.056561993580947,0.2742812598744969,-34.88875292151688,-11.996634956885828,0.7499842268771317,[-11.996634956885828, 0.7499842268771317],0.001,False,False,5.628088976572992,7,17.709159380834848,9.335,in_progress,0.0
0,23.0,4.093681518837213,0.2382204820016764,-36.750792885820566,-11.996413224114804,0.7499829487824172,[-11.996413224114804, 0.7499829487824172],0.001,False,False,5.837624577743001,7,17.709159380834848,9.402,in_progress,0.0
0,24.0,4.1310979635884015,0.19776638141833497,-39.03359307411438,-11.997308462974615,0.7499907753463049,[-11.997308462974615, 0.7499907753463049],0.001,False,False,6.048810996231064,7,17.709159380834848,9.47,in_progress,0.0
0,25.0,4.165339898531961,0.15839572917546751,-40.953674901817216,-11.998095848874073,0.7499933445824354,[-11.998095848874073, 0.7499933445824354],0.001,False,False,6.242089545914533,7,17.709159380834848,9.539,in_progress,0.0
0,26.0,4.20015326671794,0.11519246868189886,-43.17676522812367,-11.998184977972414,0.7500125888564071,[-11.998184977972414, 0.7500125888564071],0.001,False,False,6.438587206706396,8,17.709159380834848,9.608,in_progress,0.0
0,27.0,4.231835371118915,0.07003894951992129,-45.72088998681626,-11.997456876357319,0.7500093327435025,[-11.997456876357319, 0.7500093327435025],0.001,False,False,6.617399367146424,8,17.709159380834848,9.673,off_track,1.991999999999999
0,28.0,4.3401514526615825,0.4931313451267935,9.310939310332526e-05,-11.9963360359543,0.7500225091625907,[-11.9963360359543, 0.7500225091625907],0.0,False,False,7.229876856396237,9,17.709159380834848,9.798,pause,1.866999999999999
0,29.0,4.340019515656699,0.4932031841049942,0.020252543640942648,-11.998739178932738,0.7500534573628101,[-11.998739178932738, 0.7500534573628101],0.0,False,True,7.229131981043013,9,17.709159380834848,9.818,pause,1.8469999999999995
0,30.0,4.340019515656699,0.4932031841049942,0.020252543640942648,-11.998743197924341,0.7500531167024747,[-11.998743197924341, 0.7500531167024747],0.0,False,True,7.229131981043013,9,17.709159380834848,9.869,pause,1.7959999999999994
0,31.0,4.340075738292947,0.49318216758747735,0.009735833849272516,-11.998759157460881,0.7500533267666469,[-11.998759157460881, 0.7500533267666469],0.0,False,True,7.229449416071923,9,17.709159380834848,9.928,pause,1.7369999999999983
0,32.0,4.340019515656699,0.4932031841049942,0.020252543640942648,-11.998791557707591,0.7500532865706191,[-11.998791557707591, 0.7500532865706191],0.0,False,True,7.229131981043013,9,17.709159380834848,10.005,pause,1.6599999999999984
0,33.0,4.340131179754678,0.4931191894461415,7.243327987005716e-05,-11.998791699545109,0.7500534806022188,[-11.998791699545109, 0.7500534806022188],0.0,False,True,7.229762354763116,9,17.709159380834848,10.068,pause,1.5969999999999995
